Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
All lights are brighter than normal and have a short lifespan.,Faulty voltage regulator.,A,"Lights are unusually bright, potential for multiple lamps to fail.",Test charging system output.,Test determines that the charging system regulated voltage is 16 volts. Amperage meets specifications.,1,Yes,What would cause the lights to be too bright?,"Test alternator wiring for proper power, grounds and continuity.",Alternator wiring meets specifications.,1,Yes,"Does the alternator have proper power, grounds and connections?",Replace the voltage regulator and/or alternator.,Well done! The lights are normal brightness and the charging system test readings are within operational specifications.,1,Yes,What are the charging system test voltage readings?
,,,,Crank engine with starter and listen to cranking sound.,Starter sounds and operates normally.,2,No,,Load test/capacity test the battery.,Battery passes load test/capacity test. ,2,No,,"Charge battery, retest to ensure correct operation.",This did not correct the fault. Try again.,2,No,
,,,,"Activate horn and listen, observe result.",Horn operates normally. ,2,No,,Test blower motor switch.,Blower motor switch operates normally.,2,No,,Clean battery terminals.,This did not correct the fault. Try again.,2,No,
,,,,Operate heater blower motor on all speeds and observe result.,Blower motor works on all speeds.,2,No,,"Perform a ""Starter Draw"" test.",Starter draw results meet specifications. ,2,No,,Replace solenoid and/or starter.,Replacing this component did not rectify the fault.,2,No,
,,,,Crank engine with starter to check for good cranking speed.,"Tests determine battery, terminals, and wiring are in good condition.",2,No,,"Test ""main"" relay.","""Main"" relay operates normally. ",2,No,,Replace battery.,Replacing this component did not rectify the fault.,2,No,
,,,,Measure resistance of all light bulbs.,Resistance of all bulbs is within specifications. ,2,No,,Measure battery voltage at battery posts while cranking the engine.,Battery voltage is above 10 volts while cranking.,2,No,,Replace faulty ignition switch.,Replacing this component did not rectify the fault.,2,No,
,,,,Load test/capacity test battery.,Battery passes load test/capacity test.,2,No,,Visual  inspection.,All looks good visually.,2,No,,Replace ground strap.,Replacing this component did not rectify the fault.,2,No,
,,,,Measure battery voltage at battery posts while cranking the engine.,Battery voltage is above 10 volts while cranking.,2,No,,Check for parasitic battery drain.,Drain is OK. Less than specified.,2,No,,Replace faulty fusible link.,Replacing this component did not rectify the fault.,2,No,
,,,,Visual  inspection.,All looks good visually.,2,No,,"Check fusible link or main fuse, voltage drop when switch in start position.",Voltage drop within specifications.,2,No,,Replace connector or terminal.,Replacing this component did not rectify the fault.,2,No,
,,,,Check for parasitic battery drain.,Drain is OK. Less than specified.,2,No,,Test neutral safety switch.,Switch operates normally.,2,No,,Replace or adjust neutral safety switch.,Replacing this component did not rectify the fault.,2,No,
,,,,"Check fusible link or main fuse, voltage drop when switch in start position.",Voltage drop within specifications.,2,No,,Check ignition switch for power on starter terminal.,Battery voltage measured at that point.,2,No,,Replace charging system wiring harness.,Replacing this component did not rectify the fault.,2,No,
,,,,Test neutral safety switch.,Switch operates normally.,2,No,,,,,,,,,,,
