"map","category","test_type","qn_category","gift_filename"
"CDX 2 Core ASE  5.1 Quizzes & Tests","Foundation & Safety","Topic Group Test","hazemerg","01_hazemerg.txt"
,,,"perspropsafety","01_perspropsafety.txt"
,,,"basictoolprep","02_basictoolprep.txt"
,,,"toolequipdfundas","02_toolequipfund.txt"
,,,"powertools","02_powertools.txt"
,,,"useelecpowertools","02_useelecpowertools.txt"
,,,"useairpowertools","02_useairpowertools.txt"
,,,"commonworktools","02_commworkshoptools.txt"
,,,"autotools","02_automotivetools.txt"
,,,"additionaltools","02_additionaltools.txt"
,,,"usenonpowered","02_usenonpowertools.txt"
,,,"usemeasuretools","02_usemeasuretools.txt"
,,,"diagequip","02_diagnosticequip.txt"
,,,"liftequip","02_liftingequip.txt"
,,,"useworkshopequip","02_useworkequip.txt"
,,,"infoproc","01_infoproc.txt"
,,,"enginelayouts","01_enginelayouts.txt"
,,,"bodydesigns","01_bodydesigns.txt"
,,,"driveconfig","01_driveconfig.txt"
,,,"vehinspectproc","01_vehinspecproc.txt"
,,,"activelisten","11_activelistening.txt"
,,,"artspeaking","11_artofspeaking.txt"
,,,"peopleskills","11_peopleskills.txt"
,,,"effectiveread","11_effectivereading.txt"
,,,"writing","11_writingatwork.txt"
,,,"researching","11_researching.txt"
,,,"unitsmeasure","11_uom.txt"
,,,"infotools","11_infotools.txt"
,,,"engines","11_engines.txt"
,,,"enginecycles","11_enginecycles.txt"
,,,"enginecomp","11_enginecomp.txt"
,,,"enginecooling","11_enginecooling.txt"
,,,"fuelsys","11_fuelsystems.txt"
,,,"chassis","11_chassis.txt"
,,,"electrics","11_electrics.txt"
,,,"electronics","11_electronics.txt"
,,"Find-The-Missing Word","hazemerg","001_hazards.txt"
,,,"perspropsafety","002_personal_safety.txt"
,,,"basictoolprep","008_basic_tool_prep.txt"
,,,"toolequipdfundas","009_tool_fundamentals.txt"
,,,"powertools","010_power_tools.txt"
,,,"useelecpowertools","011_electric_power_tools.txt"
