map,category,test_type,qn_category,gift_filename
CDX AUR 5.1 Quizzes & Tests,Brakes,Topic Group Test,chassis,11_chassis.txt
,,,brakesfundas,06_brakingfund.txt
,,,brakesys,06_brakingsys.txt
,,,brakesyscomp,06_brakesyscomp.txt
,,,drumbrakecomp,06_brakesyscomp.txt
,,,discbrakecomp,06_drumbrakescomp.txt
,,,brakesproc,06_brakesproc.txt
,,Find-The-Missing Word,chassis,165_ss_chassis.txt
,,,brakesfundas,094_brake_fundamentals.txt
,,,brakingsys,095_braking_systems.txt
,,,brakingsyscomp,096_brk-components.txt
,,,drumbrakecomp,097_drum_brakes.txt
,,,discbrakecomp,098_disc_brakes.txt
,,,brakesproc,100_brakes_procedures.txt
,Electrical & Accessories,Topic Group Test,hybriddrivesys,03_hybriddrivesystems.txt
,,,electrics,11_electrics.txt
,,,elecfundas,08_elecfund.txt
,,,sourceselec,08_sourceselec.txt
,,,effectselec,08_effectselec.txt
,,,circuitsmeasure,08_circuitsmeasurement.txt
,,,electestproc,08_electestproc.txt
,,,electricalcomp,08_electricalcomp.txt
,,,wires,08_wiresconnproc.txt
,,,electronicscomp,08_electroniccomp.txt
,,,batteries,08_batteries.txt
,,,batterymaintenanceproc,08_batterymainproc.txt
,,,charging,08_charging.txt
,,,alternatorconst,08_alternatorconst.txt
,,,chargingproc,08_chargingproc.txt
,,,starting,08_starting.txt
,,,startingproc,08_startingproc.txt
,,,lighting,08_lighting.txt
,,,typeslights,08_typeslights.txt
,,,lightingcircuits,08_lightingcircuits.txt
,,,lightingproc,08_lightingproc.txt
,,,securitysys,10_securitysystems.txt
,,,electronics,11_electronics.txt
,,,antilockbrakesyscomp,06_antilockbrakesyscomp.txt
,,,efioperation,04_efioperation.txt
,,,ecu,04_ecu.txt
,,,efisensors,04_efisensors.txt
,,,dieseleleccontrol,04_dieseleccontrol.txt
,,,satellitesys,10_satelitesystems.txt
,,,safetysys,10_safetysystems.txt
,,,entertainmentsys,10_entperipheralsys.txt
,,,ignitionsys,08_ignitionsys.txt
,,,contactbreakerignition,08_contactbreakig.txt
,,,contactbreakcomp,08_contactbreakcomp.txt
