map,category,test_type,qn_category,gift_filename
CDX IMI 5.1 Quizzes & Tests,LV1-Foundation Studies,Topic Group Test,hazemerg,01_hazemerg.txt
,,,perspropsafety,01_perspropsafety.txt
,,,basictoolprep,02_basictoolprep.txt
,,,toolsequipfundas,02_toolequipfund.txt
,,,powertools,02_powertools.txt
,,,useelecpowertools,02_useelecpowertools.txt
,,,useairpowertools,02_useairpowertools.txt
,,,commonworkshoptools,02_commworkshoptools.txt
,,,autotools,02_automotivetools.txt
,,,additionaltools,02_additionaltools.txt
,,,usemeasuretools,02_usemeasuretools.txt
,,,liftingequip,02_liftingequip.txt
,,,bodydesigns,01_bodydesigns.txt
,,,infoproc,01_infoproc.txt
,,,infotools,11_infotools.txt
,,,unitsofmeasure,11_uom.txt
,,,chassis,11_chassis.txt
,,,activelisten,11_activelistening.txt
,,,artspeaking,11_artofspeaking.txt
,,,peopleskills,11_peopleskills.txt
,,,effectiveread,11_effectivereading.txt
,,,writing,11_writingatwork.txt
,,,researching,11_researching.txt
,,Find-The-Missing Word,hazemerg,001_hazards.txt
,,,perspropsafety,002_personal_safety.txt
,,,basictoolprep,008_basic_tool_prep.txt
,,,toolsequipfundas,009_tool_fundamentals.txt
,,,powertools,010_power_tools.txt
,,,useelecpowertools,011_electric_power_tools.txt
,,,useairpowertools,012_air_power_tools.txt
,,,commonworkshoptools,013_common_tools.txt
,,,autotools,014_automotive_tools.txt
,,,additionaltools,015_additional_tools.txt
,,,usemeasuretools,017_measuring_tools.txt
,,,liftingequip,019_lifting_equip.txt
,,,bodydesigns,005_body_designs.txt
,,,infoproc,003_information_proc.txt
,,,infotools,159_ss_information_tools.txt
,,,unitsofmeasure,158_ss_units_of_measure.txt
,,,chassis,165_ss_chassis.txt
,,,communication,168_communication.txt
,LV1-Chassis Technology,Topic Group Test,bodydesigns,01_bodydesigns.txt
,,,enginelayouts,01_enginelayouts.txt
,,,driveconfig,01_driveconfig.txt
,,,vehinspectproc,01_vehinspecproc.txt
,,,basiclayouts,07_basiclayouts.txt
,,,safetysys,10_safetysystems.txt
,,,steeringprinc,05_steerprinc.txt
,,,steeringarms,05_steerarmscomps.txt
,,,steersysproc,05_steersysproc.txt
,,,suspfundas,05_suspfundpric.txt
,,,susptypes,05_typesofsusp.txt
,,,springtypes,05_typesofsprings.txt
,,,shocktypes,05_shockabsorbertypes.txt
,,,suspsysproc,05_suspsysproc.txt
,,,tiretypes,05_tiretypescharac.txt
,,,tireconstruction,05_tireconstruct.txt
,,,wheelalign,05_wheelalignfund.txt
,,,wheelstiresproc,05_wheelstiresproc.txt
,,,brakingfundas,06_brakingfund.txt
,,,drumbrakes,06_drumbrakescomp.txt
,,,discbrakes,06_discbrakescomp.txt
,,,brakesproc,06_brakesproc.txt
,,,chassis,11_chassis.txt
,,,writing,11_writingatwork.txt
,,Find-The-Missing Word,bodydesigns,005_body_designs.txt
,,,enginelayouts,004_engine_layouts.txt
,,,driveconfig,006_drive_config.txt
,,,vehinspectproc,007_vehicle_inspection_proc.txt
,,,basiclayouts,117_basic_layouts.txt
,,,safetysys,154_safety_systems.txt
,,,steeringprinc,077_steering_princ.txt
,,,steeringarms,079_steering_arms.txt
,,,steersysproc,080_steering_procedures.txt
,,,suspfundas,081_susp_principles.txt
,,,susptypes,082_types_of_suspn.txt
