map,category,test_type,qn_category,gift_filename
CDX NZ 5.1 Quizzes & Tests,Introductory Skills,Topic Group Test,perspropsafety,01_perspropsafety.txt
,,,hazemerg,01_hazemerg.txt
,,,toolsequipfundas,02_toolequipfund.txt
,,,commonworkshoptools,02_commworkshoptools.txt
,,,basictoolprep,02_basictoolprep.txt
,,,powertools,02_powertools.txt
,,,useelecpowertools,02_useelecpowertools.txt
,,,useairpowertools,02_useairpowertools.txt
,,,liftingequip,02_liftingequip.txt
,,,useworkshopequip,02_useworkequip.txt
,,,unitsofmeasure,11_uom.txt
,,,diagnosticequip,02_diagnosticequip.txt
,,,automotivetools,02_automotivetools.txt
,,,additionaltools,02_additionaltools.txt
,,,usenonpoweredtools,02_usenonpowertools.txt
,,Find-The-Missing Word,perspropsafety,002_personal_safety.txt
,,,hazemerg,001_hazards.txt
,,,toolsequipfundas,009_tool_fundamentals.txt
,,,commonworkshoptools,013_common_tools.txt
,,,basictoolprep,008_basic_tool_prep.txt
,,,powertools,010_power_tools.txt
,,,useelecpowertools,011_electric_power_tools.txt
,,,useairpowertools,012_air_power_tools.txt
,,,liftingequip,019_lifting_equip.txt
,,,useworkshopequip,020_using_workshop_equip.txt
,,,unitsofmeasure,158_ss_units_of_measure.txt
,,,usemeasuretools,017_measuring_tools.txt
,,,diagnosticequip,018_diagnostic_equip.txt
,,,automotivetools,014_automotive_tools.txt
,,,additionaltools,015_additional_tools.txt
,,,usenonpoweredtools,016_non-powered_tools.txt
,Core Skills,Topic Group Test,peopleskills,11_peopleskills.txt
,,,activelisten,11_activelistening.txt
,,,artofspeaking,11_artofspeaking.txt
,,,effectiveread,11_effectivereading.txt
,,,writing,11_writingatwork.txt
,,,researching,11_researching.txt
,,Find-The-Missing Word,communication,168_communication.txt
,Automotive Administration,Topic Group Test,infoproc,01_infoproc.txt
,,Find-The-Missing Word,infoproc,003_information_proc.txt
,,,workscenario,175_workplacescenario.txt
,Workshop Engineering,Topic Group Test,infotools,11_infotools.txt
,,Find-The-Missing Word,infotools,159_ss_information_tools.txt
,Inspection & Certification,Find-The-Missing Word,vehinspectproc,007_vehicle_inspection_proc.txt
,Preventive Maintenance,Topic Group Test,oil,03_oil.txt
,,Find-The-Missing Word,oil,050_oil.txt
,,,lubeproc,053_lub_procedures.txt
,Engines,Topic Group Test,enginelayouts,01_enginelayouts.txt
,,,enginecomp,11_enginecomp.txt
,,,enginecycles,11_enginecycles.txt
,,,motivepowerfundas,03_motivepowerfundprinc.txt
,,,engines,11_engines.txt
,,,4stroke,03_4strokesparkig.txt
,,,2stroke,03_2strokesparkig.txt
,,,sparkignitioncomp,03_sparkigengcomp.txt
,,,compressionignition,03_compressionignition.txt
,,,compressionignitioncomp,03_compressionignitioncomp.txt
,,,rotarycomp,03_rotaryengcomp.txt
,,,altenginecyles,03_altenginecycles.txt
,,,enginecharacteristics,03_enginecharacteristics.txt
,,,cylinderheads,03_cylinderheads.txt
,,,valvetrains,03_valvesvalvetrains.txt
,,,camshafts,03_camshaftsdrives.txt
,,,cylinderblocks,03_cylinderblocks.txt
,,,pistons,03_pistons.txt
,,,crankshaftassemblies,03_crankshaftassemblies.txt
,,,engcompproc,03_enginecompproc.txt
,,,lubesys,03_lubricationsys.txt
,,,lubesyscomp,03_lubricationsyscomp.txt
,,,coolingfundamentals,03_coolingfundamentals.txt
,,,enginecooling,11_enginecooling.txt
,,,coolingsys,03_coolingsystems.txt
,,,coolingsyscomp,03_coolsyscomp.txt
,,,coolsysproc,03_coolsysproc.txt
,,,rebuildintro,03_introenginerebuilding.txt
,,,removeengine,03_removingengine.txt
,,,engindisassembly,03_engdisassembly.txt
,,,enginemachining,03_enginemachining.txt
,,,enginepreassembly,03_enginepreassembly.txt
,,,enginefinalassembly,03_enginefinalassembly.txt
