map,category,test_type,qn_category,gift_filename
CDX RS 5.1 Quizzes & Tests,Occupational Skills,Topic Group Test,basictoolprep,02_basictoolprep.txt
,,,toolsequipfundas,02_toolequipfund.txt
,,,infotools,11_infotools.txt
,,,powertools,02_powertools.txt
,,,usingelecpowertools,02_useelecpowertools.txt
,,,usingairpowertools,02_useairpowertools.txt
,,,commonworkshoptools,02_commworkshoptools.txt
,,,autotools,02_automotivetools.txt
,,,additionaltools,02_additionaltools.txt
,,,usenonpoweredtools,02_usenonpowertools.txt
,,,usemeasuretools,02_usemeasuretools.txt
,,,diagnosticequip,02_diagnosticequip.txt
,,,liftingequip,02_liftingequip.txt
,,,useworkshopequip,02_useworkequip.txt
,,,activelisten,11_activelistening.txt
,,,artspeaking,11_artofspeaking.txt
,,,peopleskills,11_peopleskills.txt
,,,effectiveread,11_effectivereading.txt
,,,writing,11_writingatwork.txt
,,,researching,11_researching.txt
,,,infoproc,01_infoproc.txt
,,,unitsofmeasure,11_uom.txt
,,,hazemerg,01_hazemerg.txt
,,,perspropsafety,01_perspropsafety.txt
,,,enginelayouts,01_enginelayouts.txt
,,,bodydesigns,01_bodydesigns.txt
,,,driveconfig,01_driveconfig.txt
,,,enginefundas,gs03_enginefundamentals.txt
,,,valvetrains,gs03_valvesvalvetrains.txt
,,,camshafts,gs03_camshaftsdrives.txt
,,,pistons,gs03_pistons.txt
,,,crankshaftassemblies,gs03_crankshaftassemblies.txt
,,,enginecompproc,03_enginecompproc.txt
,,,coolingfundamentals,gs03_coolingfundamentals.txt
,,,coolingsystems,gs03_coolingsystems.txt
,,,coolingsyscomp,gs03_coolsyscomp.txt
,,,coolingsysproc,03_coolsysproc.txt
,,,oil,gs03_oil.txt
,,,lubesys,gs03_lubricationsys.txt
,,,lubesyscomp,gs03_lubricationsyscomp.txt
,,,lubeproc,03_lubricationproc.txt
,,,intakeexhaustsys,gs04_intakeexhaustsys.txt
,,,intakeexhaustsyscomp,gs04_intakeexhaustsyscomp.txt
,,,intakesysproc,04_intakesysproc.txt
,,,fuelsysprinc,gs04_fuelsysprinc.txt
,,,carburetedsyscomp,gs04_carbsyscomp.txt
,,,efiprinciples,gs04_efifuelsysprinc.txt
,,,eficomp,gs04_efifuelsyscomp.txt
,,,creationemissions,gs04_creationemissions.txt
,,,typesemissions,gs04_typesemissions.txt
,,,emissioncontrol,gs04_emissioncontrol.txt
,,,onboarddiag,04_obd.txt
,,,steeringprinc,05_steerprinc.txt
,,,steerboxes,gs05_steerboxescolumns.txt
,,,steerarms,gs05_steerarmscomps.txt
,,,suspfundas,gs05_suspfundpric.txt
,,,typesofsusp,gs05_typesofsusp.txt
,,,typesofsprings,gs05_typesofsprings.txt
,,,frontsusp,05_frontsusptypescomp.txt
,,,rearsusp,05_rearsusptypescomp.txt
,,,tiretypes,gs05_tiretypescharac.txt
,,,tireconstruction,gs05_tireconstruct.txt
,,,brakingfundas,gs06_brakingfund.txt
,,,brakingsyscomp,gs06_brakesyscomp.txt
,,,drumbrakes,gs06_drumbrakescomp.txt
,,,discbrakes,gs06_brakesyscomp.txt
,,,clutches,gs07_clutches.txt
,,,gearboxlayoutop,gs07_gearboxlayoutop.txt
,,,basiclayouts,gs07_basiclayouts.txt
,,,frontwheeldrive,gs07_frontwhldrive.txt
,,,rearwheeldrive,gs07_rearwhldrive.txt
,,,batteries,08_batteries.txt
,,,batterymaintenanceproc,08_batterymainproc.txt
,,,ignitionsys,08_ignitionsys.txt
,,,contactbreakcomp,08_contactbreakcomp.txt
,,,distributorless,08_distribsys.txt
,,Find-The-Missing Word,basictoolprep,008_basic_tool_prep.txt
,,,toolsequipfundas,009_tool_fundamentals.txt
,,,infotools,159_ss_information_tools.txt
,,,powertools,010_power_tools.txt
,,,useelecpowertools,011_electric_power_tools.txt
,,,useairpowertools,012_air_power_tools.txt
,,,commonworkshoptools,013_common_tools.txt
,,,autotools,014_automotive_tools.txt
,,,additionaltools,015_additional_tools.txt
,,,usenonpoweredtools,016_non-powered_tools.txt
,,,usemeasuretools,017_measuring_tools.txt
,,,diagnosticequip,018_diagnostic_equip.txt
,,,liftingequip,019_lifting_equip.txt
,,,useworkshopequip,020_using_workshop_equip.txt
,,,communication,168_communication.txt
,,,infoproc,003_information_proc.txt
,,,unitsofmeasure,158_ss_units_of_measure.txt
,,,hazemerg,001_hazards.txt
,,,perspropsafety,002_personal_safety.txt
,,,enginelayouts,004_engine_layouts.txt
,,,bodydesigns,005_body_designs.txt
,,,driveconfig,006_drive_config.txt
,,,enginefundas,014-GS_engine_fundamentals.txt
,,,valvetrains,015-GS_valves_valve_trains.txt
,,,camshafts,016-GS_camshafts_drives.txt
,,,pistons,017-GS_pistons.txt
,,,crankshaftassemblies,018-GS_crankshaft_assemblies.txt
,,,enginecompproc,019-GS_engines_procedures.txt
,,,coolingfundamentals,020-GS_cooling_fundamentals.txt
,,,coolingsystems,021-GS_cooling_systems.txt
,,,coolingsyscomp,022-GS_cooling_system_components.txt
,,,coolingsysproc,049_cooling_procedures.txt
,,,oil,024-GS_oil.txt
,,,lubesys,025-GS_lubrication_systems.txt
,,,lubesyscomp,026-GS_lubrication_system_components.txt
,,,lubeproc,053_lub_procedures.txt
,,,intakeexhaustsys,028-GS_intake_exhaust_systems.txt
,,,intakeexhaustsyscomp,029-GS_intake_exhaust_components.txt
,,,intakesysproc,030-GS_intake_sys_procedure.txt
,,,fuelsysprinc,031-GS_fuel_system_principles.txt
,,,carburetedsyscomp,032-GS_carbureted_system_components.txt
,,,efiprinciples,033-GS_efi_system_principles.txt
,,,eficomp,034-GS_efi_system_components.txt
,,,fuelsysproc,035-GS_fuel_system_procedures.txt
,,,creationemissions,036-GS_creation_of_emissions.txt
,,,typesemissions,037-GS_types_of_emissions.txt
,,,emissioncontrol,038-GS_emission_control.txt
,,,onboarddiag,039-GS_onboard_diagnostics.txt
,,,emissionsproc,076_emissions_procedures.txt
,,,steeringprinc,077_steering_princ.txt
,,,steerboxes,042-GS_steering_boxes_columns.txt
,,,steerarms,043-GS_steering_arms_components.txt
,,,steersysproc,044-GS_steering_system_procedures.txt
,,,suspfundas,045-GS_susp_fundamental_principles.txt
