menu,cdx_menu_name,map,shortname,category,test_type,test_type_abbr,quiz,qn_category
mito,MITO (NZ),CDX MITO 5.1 Quizzes & Tests,introskills,Introductory Skills,Topic Group Test,TGT,Personal & property safety,perspropsafety
,,,,,,,Hazards & emergencies ,hazemerg
,,,,,,,Tools & equipment fundamentals,toolsequipfundas
,,,,,,,Common workshop tools ,commonworkshoptools
,,,,,,,Basic tool preparation,basictoolprep
,,,,,,,Power tools,powertools
,,,,,,,Lifting equipment,liftingequip
,,,,,,,Units of measure,unitsofmeasure
,,,,,,,Diagnostic equipment,diagnosticequip
,,,,,,,Automotive tools,automotivetools
,,,,,,,Additional tools,additionaltools
,,,,,Find-The-Missing Word,FTMW,Personal & property safety,perspropsafety
,,,,,,,Hazards & emergencies ,hazemerg
,,,,,,,Tools & equipment fundamentals,toolsequipfundas
,,,,,,,Common workshop tools ,commonworkshoptools
,,,,,,,Basic tool preparation,basictoolprep
,,,,,,,Power tools,powertools
,,,,,,,Use electric power tools,useelecpowertools
,,,,,,,Use air power tools,useairpowertools
,,,,,,,Lifting equipment,liftingequip
,,,,,,,Use workshop equipment,useworkshopequip
,,,,,,,Units of measure,unitsofmeasure
,,,,,,,Use measuring tools,usemeasuretools
,,,,,,,Diagnostic equipment,diagnosticequip
,,,,,,,Automotive tools,automotivetools
,,,,,,,Additional tools,additionaltools
,,,,,,,Use non-powered tools,usenonpoweredtools
,,,,,Practice Exam,PE,MITO Introductory Skills,51MITOintroskillsPE
,,,coreskills,Core Skills,Topic Group Test,TGT,People skills,peopleskills
,,,,,,,Active listening,activelisten
,,,,,,,Effective reading,effectiveread
,,,,,,,Researching,researching
,,,,,Find-The-Missing Word,FTMW,Communication,communication
,,,,,Practice Exam,PE,MITO Core Skills,51MITOcoreskillsPE
,,,autoadmin,Automotive Administration,Topic Group Test,TGT,Information procedures,infoproc
,,,,,Find-The-Missing Word,FTMW,Information procedures,infoproc
,,,,,,,Workplace scenario,workscenario
,,,workshop,Workshop Engineering,Topic Group Test,TGT,Information & tools,infotools
,,,,,Find-The-Missing Word,FTMW,Information & tools,infotools
,,,inspectcertify,Inspection & Certification,Find-The-Missing Word,FTMW,Vehicle inspection procedures,vehinspectproc
,,,prevent,Preventive Maintenance,Topic Group Test,TGT,Oil,oil
,,,,,Find-The-Missing Word,FTMW,Oil,oil
,,,,,,,Lubrication procedures,lubeproc
,,,Engines,Engines,Topic Group Test,TGT,Engine layouts,enginelayouts
,,,,,,,Engine components,enginecomp
,,,,,,,Engine cycles,enginecycles
,,,,,,,Motive power fundamental principles,motivepowerfundas
,,,,,,,Engines,engines
,,,,,,,4-stroke spark-ignition engines,4stroke
,,,,,,,2-stroke spark-ignition engines,2stroke
,,,,,,,Spark-ignition engine components,sparkignitioncomp
,,,,,,,Compression-ignition engines,compressionignition
,,,,,,,Compression-ignition engine components,compressionignitioncomp
,,,,,,,Rotary spark-ignition engine & components,rotarycomp
,,,,,,,Alternative engine cycles ,altenginecyles
,,,,,,,Engine characteristics,enginecharacteristics
,,,,,,,Cylinder heads,cylinderheads
,,,,,,,Valves & valve trains,valvetrains
,,,,,,,Camshafts & drives,camshafts
,,,,,,,Cylinder blocks,cylinderblocks
,,,,,,,Pistons,pistons
,,,,,,,Crankshaft assemblies ,crankshaftassemblies
,,,,,,,Lubrication systems,lubesys
,,,,,,,Lubrication system components ,lubesyscomp
,,,,,,,Cooling fundamentals,coolingfundamentals
,,,,,,,Engine cooling ,enginecooling
,,,,,,,Cooling systems,coolingsys
,,,,,,,Cooling system components ,coolingsyscomp
,,,,,Find-The-Missing Word,FTMW,Engine layouts,enginelayouts
,,,,,,,Engine components,enginecomp
,,,,,,,Engine cycles,enginecycles
,,,,,,,Motive power fundamental principles,motivepowerfundas
,,,,,,,Engines,engines
,,,,,,,4-stroke spark-ignition engines,4stroke
,,,,,,,2-stroke spark-ignition engines,2stroke
,,,,,,,Spark-ignition engine components,sparkignitioncomp
,,,,,,,Compression-ignition engines,compressionignition
,,,,,,,Compression-ignition engine components,compressionignitioncomp
,,,,,,,Rotary spark-ignition engine & components,rotarycomp
,,,,,,,Alternative engine cycles ,altenginecyles
,,,,,,,Engine characteristics,enginecharacteristics
,,,,,,,Cylinder heads,cylinderheads
,,,,,,,Valves & valve trains,valvetrains
,,,,,,,Camshafts & drives,camshafts
,,,,,,,Cylinder blocks,cylinderblocks
,,,,,,,Pistons,pistons
,,,,,,,Crankshaft assemblies ,crankshaftassemblies
,,,,,,,Engine component procedures,enginecompproc
,,,,,,,Lubrication systems,lubesys
,,,,,,,Lubrication system components ,lubesyscomp
,,,,,,,Cooling fundamentals,coolingfundamentals
,,,,,,,Engine cooling ,enginecooling
,,,,,,,Cooling systems,coolingsys
,,,,,,,Cooling system components ,coolingsyscomp
,,,,,,,Cooling system procedures,coolingsysproc
,,,,,,,Introduction to engine rebuilding,introrebuild
,,,,,,,Removing the engine,removeengine
,,,,,,,Engine disassembly,enginedisassembly
,,,,,,,Engine machining,enginemachining
,,,,,,,Engine pre-assembly,enginepreassembly
,,,,,,,Engine final assembly,enginefinalassembly
,,,,,,,Engine re-installing,enginereinstalling
,,,,,,,Engine start-up,enginestartup
,,,,,Practice Exam,PE,MITO Engines,51MITOenginesPE
,,,fuelsys,Fuel Systems & Exhaust,Topic Group Test,TGT,Gasoline fuel system principles,gasfuelsysprinc
,,,,,,,Carburetor operation,carbop
,,,,,,,Carbureted system components,carbsyscomp
,,,,,,,EFI fuel supply system - principles,efiprinciples
,,,,,,,EFI fuel supply system - components,eficomp
,,,,,,,EFI operation,efioperation
,,,,,,,Intake & exhaust systems,intakeexhaustsys
,,,,,,,Exhaust system components,exhaustsyscomp
,,,,,,,Diesel fuel systems,dieselfuelsys
,,,,,,,Diesel fuel system components ,dieselfuelsyscomp
,,,,,,,Creation of emissions,creationemissions
,,,,,,,Types of emissions,typesemissions
,,,,,,,Emission control,emissioncontrol
,,,,,,,Fuel systems,fuelsystems
,,,,,,,Electronic control unit – ECU,ecu
,,,,,,,EFI sensors,efisensors
,,,,,,,Diesel electronic control,dieseleleccontrol
,,,,,,,On-board diagnostics,obd
,,,,,,,Alternate fuels introduction,altfuelsintro
,,,,,,,Biodiesel ,biodiesel
,,,,,,,Gaseous fuels,gaseousfuels
,,,,,,,Alternate fuels developments,altfuelsdev
,,,,,Find-The-Missing Word,FTMW,Gasoline fuel system principles,gasfuelsysprinc
,,,,,,,Carburetor operation,carbop
,,,,,,,Carbureted system components,carbsyscomp
,,,,,,,EFI fuel supply system - principles,efiprinciples
,,,,,,,EFI fuel supply system - components,eficomp
,,,,,,,EFI operation,efioperation
,,,,,,,Intake & exhaust systems,intakeexhaustsys
,,,,,,,Exhaust system components,exhaustsyscomp
,,,,,,,Diesel fuel systems,dieselfuelsys
,,,,,,,Diesel fuel system components ,dieselfuelsyscomp
,,,,,,,Intake system procedure,intakesysproc
,,,,,,,Fuel system procedures,fuelsysproc
,,,,,,,Creation of emissions,creationemissions
,,,,,,,Types of emissions,typesemissions
,,,,,,,Emission control,emissioncontrol
