menu,cdx_menu_name,map,shortname,category,test_type,test_type_abbr,quiz,qn_category
rs,Red Seal (CAN),CDX RS 5.1 Quizzes & Tests,OccSkills,Occupational Skills,Topic Group Test,TGT,Basic tool preparation,basictoolprep
,,,,,,,Tools & equipment fundamentals,toolsequipfundas
,,,,,,,Information & tools,infotools
,,,,,,,Power tools,powertools
,,,,,,,Common workshop tools ,commonworkshoptools
,,,,,,,Automotive tools,autotools
,,,,,,,Additional tools,additionaltools
,,,,,,,Diagnostic equipment,diagnosticequip
,,,,,,,Lifting equipment,liftingequip
,,,,,,,Active listening,activelisten
,,,,,,,Art of speaking,artspeaking
,,,,,,,People skills,peopleskills
,,,,,,,Effective reading,effectiveread
,,,,,,,Writing at work,writing
,,,,,,,Researching,researching
,,,,,,,Units of measure,unitsofmeasure
,,,,,,,Hazards & emergencies ,hazemerg
,,,,,,,Personal & property safety,perspropsafety
,,,,,,,Engine layouts,enginelayouts
,,,,,,,Body designs,bodydesigns
,,,,,,,Drive configurations ,driveconfig
,,,,,,,Engine fundamentals,enginefundas
,,,,,,,Valves & valve trains,valvetrains
,,,,,,,Camshafts & drives,camshafts
,,,,,,,Pistons,pistons
,,,,,,,Crankshaft assemblies ,crankshaftassemblies
,,,,,,,Cooling fundamentals,coolingfundamentals
,,,,,,,Cooling systems,coolingsystems
,,,,,,,Cooling system components ,coolingsyscomp
,,,,,,,Oil,oil
,,,,,,,Lubrication systems,lubesys
,,,,,,,Lubrication system components ,lubesyscomp
,,,,,,,Intake & exhaust systems,intakeexhaustsys
,,,,,,,Intake & exhaust system components,intakeexhaustsyscomp
,,,,,,,Fuel system principles,fuelsysprinc
,,,,,,,Carbureted system components,carburetedsyscomp
,,,,,,,EFI fuel supply system - principles,efiprinciples
,,,,,,,EFI fuel supply system - components,eficomp
,,,,,,,Creation of emissions,creationemissions
,,,,,,,Types of emissions,typesemissions
,,,,,,,Emission control,emissioncontrol
,,,,,,,On-board diagnostics,onboarddiag
,,,,,,,Steering principles,steeringprinc
,,,,,,,Steering boxes & columns,steerboxes
,,,,,,,Steering arms & components,steerarms
,,,,,,,Suspension fundamental principles,suspfundas
,,,,,,,Types of suspension,typesofsusp
,,,,,,,Types of springs,typesofsprings
,,,,,,,Front suspension types & components,frontsusp
,,,,,,,Rear suspension types & components,rearsusp
,,,,,,,Tire types & characteristics ,tiretypes
,,,,,,,Tire construction,tireconstruction
,,,,,,,Braking fundamentals ,brakingfundas
,,,,,,,Braking system components,brakingsyscomp
,,,,,,,Drum brakes & components ,drumbrakes
,,,,,,,Disc brakes & components ,discbrakes
,,,,,,,Clutches,clutches
,,,,,,,Gearbox layout & operation ,gearboxlayoutop
,,,,,,,Basic layouts,basiclayouts
,,,,,,,Front-wheel drive,frontwheeldrive
,,,,,,,Rear-wheel drive,rearwheeldrive
,,,,,,,Batteries,batteries
,,,,,,,Ignition systems,ignitionsys
,,,,,,,Contact breaker components,contactbreakcomp
,,,,,,,distributorless systems ,distributorless
,,,,,Find-The-Missing Word,FTMW,Basic tool preparation,basictoolprep
,,,,,,,Tools & equipment fundamentals,toolsequipfundas
,,,,,,,Information & tools,infotools
,,,,,,,Power tools,powertools
,,,,,,,Use electric power tools,useelecpowertools
,,,,,,,Use air power tools,useairpowertools
,,,,,,,Common workshop tools ,commonworkshoptools
,,,,,,,Automotive tools,autotools
,,,,,,,Additional tools,additionaltools
,,,,,,,Use non-powered tools,usenonpoweredtools
,,,,,,,Use measuring tools,usemeasuretools
,,,,,,,Diagnostic equipment,diagnosticequip
,,,,,,,Lifting equipment,liftingequip
,,,,,,,Using workshop equipment,useworkshopequip
,,,,,,,Communication,communication
,,,,,,,Information procedures,infoproc
,,,,,,,Units of measure,unitsofmeasure
,,,,,,,Hazards & emergencies ,hazemerg
,,,,,,,Personal & property safety,perspropsafety
,,,,,,,Engine layouts,enginelayouts
,,,,,,,Body designs,bodydesigns
,,,,,,,Drive configurations ,driveconfig
,,,,,,,Engine fundamentals,enginefundas
,,,,,,,Valves & valve trains,valvetrains
,,,,,,,Camshafts & drives,camshafts
,,,,,,,Pistons,pistons
,,,,,,,Crankshaft assemblies ,crankshaftassemblies
,,,,,,,Engine component procedures,enginecompproc
,,,,,,,Cooling fundamentals,coolingfundamentals
,,,,,,,Cooling systems,coolingsystems
,,,,,,,Cooling system components ,coolingsyscomp
,,,,,,,Cooling systems procedures,coolingsysproc
,,,,,,,Oil,oil
,,,,,,,Lubrication systems,lubesys
,,,,,,,Lubrication system components ,lubesyscomp
,,,,,,,Lubrication procedures,lubeproc
,,,,,,,Intake & exhaust systems,intakeexhaustsys
,,,,,,,Intake & exhaust system components,intakeexhaustsyscomp
,,,,,,,Intake system procedure,intakesysproc
,,,,,,,Fuel system principles,fuelsysprinc
,,,,,,,Carbureted system components,carburetedsyscomp
,,,,,,,EFI fuel supply system - principles,efiprinciples
,,,,,,,EFI fuel supply system - components,eficomp
,,,,,,,Fuel system procedures,fuelsysproc
,,,,,,,Creation of emissions,creationemissions
,,,,,,,Types of emissions,typesemissions
,,,,,,,Emission control,emissioncontrol
,,,,,,,On-board diagnostics,onboarddiag
,,,,,,,Emissions procedures,emissionsproc
,,,,,,,Steering principles,steeringprinc
,,,,,,,Steering boxes & columns,steerboxes
,,,,,,,Steering arms & components,steerarms
,,,,,,,Steering system procedures,steersysproc
,,,,,,,Suspension fundamental principles,suspfundas
,,,,,,,Types of suspension,typesofsusp
,,,,,,,Types of springs,typesofsprings
,,,,,,,Front suspension types & components,frontsusp
,,,,,,,Rear suspension types & components,rearsusp
,,,,,,,Suspension system procedures,suspsysproc
,,,,,,,Tire types & characteristics ,tiretypes
,,,,,,,Tire construction,tireconstruction
,,,,,,,Wheels & tires procedures,wheelstiresproc
,,,,,,,Braking fundamentals ,brakingfundas
,,,,,,,Braking system components,brakingsyscomp
,,,,,,,Drum brakes & components ,drumbrakes
,,,,,,,Disc brakes & components ,discbrakes
,,,,,,,Brakes procedures,brakesproc
,,,,,,,Clutches,clutches
,,,,,,,Gearbox layout & operation ,gearboxlayoutop
,,,,,,,Clutches & manual transmission procedures,clutchesmanualtransproc
,,,,,,,Basic layouts,basiclayouts
,,,,,,,Front-wheel drive,frontwheeldrive
,,,,,,,Rear-wheel drive,rearwheeldrive
,,,,,,,Final drives procedures,finaldriveproc
,,,,,,,Batteries,batteries
,,,,,,,Battery maintenance procedures,batteryproc
,,,,,,,Ignition systems,ignitionsys
,,,,,,,Contact breaker components,contactbreakcomp
,,,,,,,distributorless systems ,distributorless
,,,,,,,Ignition procedures,ignitionproc
,,,,,,,Vehicle inspection procedures,vehicleinspectionproc
,,,,,Practice Exam,PE,Red Seal Occupational Skills,RsoccskillsPE
,,,,,Final Exam,FE,Red Seal Occupational Skills,RsoccskillsFE
,,,EngineSys,Engine Systems,Topic Group Test,TGT,Motive power fundamental principles,motivepowerfundprinc
,,,,,,,Engine cycles,enginecycles
,,,,,,,4-stroke spark-ignition engines,4strokesparkig
,,,,,,,Spark-ignition engine components,sparkigengcomp
,,,,,,,Engines,engines
,,,,,,,Rotary spark-ignition engine & components,rotaryengcomp
,,,,,,,Alternative engine cycles ,altenginecycles
,,,,,,,Hybrid drive systems,hybriddrivesystems
